time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
55,3523,95,194560,0.0,0.0,940,192.55981802642344,-4.564804839901626e-07,91.43560028076172,1e-06,0.2,-1.6094377413392067,0.0,17302.727272727272,585.2727272727273
55,3559,96,196608,0.0,5.960464477539063e-08,950,0.783633291348815,-1.9241386326029895e-06,0.4007190465927124,1e-06,0.2,-1.6094377264380455,0.0,17302.727272727272,585.2727272727273
55,3595,97,198656,0.0,0.0,960,0.7797821756452322,-1.999900268856436e-06,0.37035033106803894,1e-06,0.2,-1.6094377286732198,0.0,17302.727272727272,585.2727272727273
55,3632,98,200704,0.0,5.960464477539063e-08,970,88.60447265952826,-7.236114470288157e-07,64.54875183105469,1e-06,0.2,-1.6094377171248198,0.0,17302.727272727272,585.2727272727273
55,3669,99,202752,0.0,0.0,980,26.9456118227914,1.1484735296107829e-08,18.620803833007812,1e-06,0.2,-1.609437719732523,0.0,17302.727272727272,585.2727272727273
55,3705,100,204800,0.0,0.0,990,0.9113973025232553,-7.611379260197282e-08,0.4072187542915344,1e-06,0.2,-1.609437730535865,0.0,17302.727272727272,585.2727272727273
55,3742,101,206848,0.0,0.0,1000,0.8427143720909953,-3.6444180295802653e-07,0.4379572868347168,1e-06,0.2,-1.6094377387315035,0.0,17209.833333333332,571.8333333333334
55,3778,102,208896,0.0,5.960464477539063e-08,1010,127.07985760048032,-5.42544512427412e-07,78.83206176757812,1e-06,0.2,-1.6094377361238004,0.0,17209.833333333332,571.8333333333334
55,3815,103,210944,0.0,1.1920928955078125e-07,1020,33.428762016259135,-1.1536729289218784e-06,12.264067649841309,1e-06,0.2,-1.6094377227127552,0.0,17209.833333333332,571.8333333333334
55,3850,104,212992,0.0,0.0,1030,0.781163720972836,-7.595779607072473e-07,0.45344409346580505,1e-06,0.2,-1.6094377238303423,0.0,17209.833333333332,571.8333333333334
55,3885,105,215040,0.0,0.0,1040,0.7790930869057775,-8.777453331276774e-07,0.3778770864009857,1e-06,0.2,-1.609437680989504,0.0,17209.833333333332,571.8333333333334
55,3921,106,217088,0.0,5.960464477539063e-08,1050,128.41424362063407,-2.9695656849071385e-07,73.0807876586914,1e-06,0.2,-1.6094376619905233,0.0,17209.833333333332,571.8333333333334
55,3955,107,219136,0.0,0.0,1060,143.79205763339996,-1.3257231330499052e-07,20.093212127685547,1e-06,0.2,-1.6094376403838395,0.0,17209.833333333332,571.8333333333334
55,3990,108,221184,0.0,0.0,1070,0.9143584130331874,-1.4531135093420744e-06,0.4347115755081177,1e-06,0.2,-1.6094376888126134,0.0,17209.833333333332,571.8333333333334
55,4025,109,223232,0.0,1.1920928955078125e-07,1080,0.8305609274655581,-6.038564606569707e-07,0.40750816464424133,1e-06,0.2,-1.6094377119094134,0.0,17209.833333333332,571.8333333333334
55,4060,110,225280,0.0,0.0,1090,0.7797987289726734,-2.0017352653667332e-06,0.35927048325538635,1e-06,0.2,-1.6094377104192972,0.0,17281.76923076923,587.2307692307693
55,4094,111,227328,0.0,1.1920928955078125e-07,1100,158.33808248639107,-6.208952981978655e-07,160.62216186523438,1e-06,0.2,-1.6094376858323813,0.0,17281.76923076923,587.2307692307693
55,4128,112,229376,0.0,0.0,1110,0.7818641623482108,-2.757333277259022e-07,0.3120017945766449,1e-06,0.2,-1.609437683224678,0.0,17281.76923076923,587.2307692307693
55,4164,113,231424,0.0,0.0,1120,0.7791233688592911,-2.6278532459400596e-06,0.4107612669467926,1e-06,0.2,-1.6094376876950265,0.0,17281.76923076923,587.2307692307693
55,4212,114,233472,0.0,0.0,1130,0.7842248061671853,-8.445902494713664e-07,0.3833894729614258,1e-06,0.2,-1.6094376739114522,0.0,17281.76923076923,587.2307692307693
55,4248,115,235520,0.0,1.1920928955078125e-07,1140,192.57040671110153,-2.492917701601982e-07,140.9295196533203,1e-06,0.2,-1.609437683224678,0.0,17281.76923076923,587.2307692307693
55,4281,116,237568,0.0,-1.1920928955078125e-07,1150,0.9108527360484004,-1.5821860870346427e-06,0.4648398458957672,1e-06,0.2,-1.6094376619905233,0.0,17281.76923076923,587.2307692307693
55,4315,117,239616,0.0,0.0,1160,24.17573218084872,-1.7097139789257198e-06,29.44579315185547,1e-06,0.2,-1.609437669068575,0.0,17281.76923076923,587.2307692307693
55,4349,118,241664,0.0,0.0,1170,0.803927032649517,-3.2102252589538693e-07,0.3687523305416107,1e-06,0.2,-1.6094375886023045,0.0,17201.714285714286,584.1428571428571
55,4383,119,243712,0.0,1.1920928955078125e-07,1180,141.927774977684,-8.515271474607289e-07,57.57100296020508,1e-06,0.2,-1.609437581524253,0.0,17201.714285714286,584.1428571428571
55,4417,120,245760,0.0,0.0,1190,0.779675068706274,-3.0917144613340495e-07,0.42285364866256714,1e-06,0.2,-1.6094376113265754,0.0,17201.714285714286,584.1428571428571
55,4457,121,247808,0.0,-1.1920928955078125e-07,1200,0.7781933758407831,-1.3677861716132611e-06,0.4615705907344818,1e-06,0.2,-1.6094376266002655,0.0,17201.714285714286,584.1428571428571
55,4495,122,249856,0.0,1.7881393432617188e-07,1210,0.7821671616286039,-8.858522051014007e-07,0.38965147733688354,1e-06,0.2,-1.6094376653432847,0.0,17201.714285714286,584.1428571428571
55,4531,123,251904,0.0,0.0,1220,157.95637078285216,-5.135356332175434e-07,96.51980590820312,1e-06,0.2,-1.609437669441104,0.0,17201.714285714286,584.1428571428571
55,4567,124,253952,0.0,-1.1920928955078125e-07,1230,0.9221154076978564,-1.421957858838141e-06,0.5408704280853271,1e-06,0.2,-1.609437670186162,0.0,17201.714285714286,584.1428571428571
55,4602,125,256000,0.0,5.960464477539063e-08,1240,0.9122742531821132,-2.305165253346786e-07,0.4885932505130768,1e-06,0.2,-1.609437658265233,0.0,17201.714285714286,584.1428571428571
55,4636,126,258048,0.0,1.1920928955078125e-07,1250,0.793127991259098,-6.366633897414431e-07,0.39479732513427734,1e-06,0.2,-1.6094376526772975,0.0,17134.6,578.2666666666667
55,4671,127,260096,0.0,1.1920928955078125e-07,1260,172.10365327596665,-2.09767313208431e-07,76.67890930175781,1e-06,0.2,-1.609437669441104,0.0,17134.6,578.2666666666667
55,4708,128,262144,0.0,0.0,1270,29.065485809370877,-1.1216074199182912e-06,9.367887496948242,1e-06,0.2,-1.6094376869499682,0.0,17134.6,578.2666666666667
55,4744,129,264192,0.0,-1.1920928955078125e-07,1280,0.781255211494863,-3.514942363835871e-07,0.3440288007259369,1e-06,0.2,-1.6094376750290393,0.0,17134.6,578.2666666666667
55,4780,130,266240,0.0,1.7881393432617188e-07,1290,0.7785213865339756,-1.049887214321643e-06,0.37490856647491455,1e-06,0.2,-1.6094376925379037,0.0,17134.6,578.2666666666667
55,4816,131,268288,0.0,0.0,1300,175.55177882909774,-2.3981701815500853e-07,96.38032531738281,1e-06,0.2,-1.6094376571476459,0.0,17134.6,578.2666666666667
55,4851,132,270336,0.0,-1.1920928955078125e-07,1310,0.9099354250356555,-6.730733730364591e-07,0.4575689435005188,1e-06,0.2,-1.6094376467168332,0.0,17134.6,578.2666666666667
55,4886,133,272384,0.0,-1.1920928955078125e-07,1320,0.9138216380029917,-2.927096647908911e-06,0.5121707320213318,1e-06,0.2,-1.6094376366585492,0.0,17134.6,578.2666666666667
55,4921,134,274432,0.0,0.0,1330,0.78626091144979,-9.7297306638211e-07,0.3789879083633423,1e-06,0.2,-1.6094376370310783,0.0,17073.75,582.4375
55,4956,135,276480,0.0,0.0,1340,261.0289351463318,-2.1320302039384843e-07,201.9057159423828,1e-06,0.2,-1.6094376474618912,0.0,17073.75,582.4375
55,4992,136,278528,0.0,-1.1920928955078125e-07,1350,0.7840277642011643,-1.2010917998850345e-06,0.36537685990333557,1e-06,0.2,-1.609437671303749,0.0,17073.75,582.4375
55,5027,137,280576,0.0,-1.1920928955078125e-07,1360,0.778952706605196,-1.436621096218005e-06,0.35940393805503845,1e-06,0.2,-1.6094376783818007,0.0,17073.75,582.4375
55,5063,138,282624,0.0,-1.1920928955078125e-07,1370,0.7774971449747682,-1.5151454135775566e-06,0.3526036739349365,1e-06,0.2,-1.6094376731663942,0.0,17073.75,582.4375
55,5099,139,284672,0.0,0.0,1380,102.79985326528549,-3.5865523386746643e-07,46.06163024902344,1e-06,0.2,-1.6094376523047687,0.0,17073.75,582.4375
55,5135,140,286720,0.0,5.960464477539063e-08,1390,0.9153993090614676,-6.494436092907563e-07,0.42867550253868103,1e-06,0.2,-1.6094376359134912,0.0,17073.75,582.4375
55,5171,141,288768,0.0,0.0,1400,0.904910134896636,-4.027322574984282e-07,0.4617946445941925,1e-06,0.2,-1.609437597543001,0.0,17073.75,582.4375
55,5206,142,290816,0.0,-1.1920928955078125e-07,1410,0.7787819989025593,-5.981884896755218e-07,0.3669816553592682,1e-06,0.2,-1.6094375550746918,0.0,17020.29411764706,575.9411764705883
55,5241,143,292864,0.0,0.0,1420,255.86892504692076,-1.0901858331635594e-07,180.99644470214844,1e-06,0.2,-1.6094375777989627,0.0,17020.29411764706,575.9411764705883
55,5276,144,294912,0.0,1.7881393432617188e-07,1430,0.784086667560041,-2.15904728975147e-06,0.4837718904018402,1e-06,0.2,-1.6094376280903817,0.0,17020.29411764706,575.9411764705883
55,5311,145,296960,0.0,-1.1920928955078125e-07,1440,0.7786941004917025,-1.4185920008458196e-06,0.39402347803115845,1e-06,0.2,-1.6094376653432847,0.0,17020.29411764706,575.9411764705883
55,5346,146,299008,0.0,1.7881393432617188e-07,1450,0.7773963451385498,-1.6680249245837331e-06,0.37465575337409973,1e-06,0.2,-1.6094376120716334,0.0,17020.29411764706,575.9411764705883
55,5382,147,301056,0.0,-1.1920928955078125e-07,1460,270.65134797096255,-1.9258586689829826e-07,122.76001739501953,1e-06,0.2,-1.6094375852495433,0.0,17020.29411764706,575.9411764705883
55,5417,148,303104,0.0,1.1920928955078125e-07,1470,31.820501210168004,-1.0678733815439045e-06,13.2443265914917,1e-06,0.2,-1.609437558799982,0.0,17020.29411764706,575.9411764705883
55,5452,149,305152,0.0,0.0,1480,0.8870735282078386,-3.2029638532549143e-06,0.4650057554244995,1e-06,0.2,-1.6094375863671302,0.0,17020.29411764706,575.9411764705883
55,5488,150,307200,0.0,0.0,1490,0.7782078916206956,-3.2755124266259372e-06,0.37308624386787415,1e-06,0.2,-1.60943757109344,0.0,17047.88888888889,586.8333333333334
